交易日期,股票代码,总市值,是否交易,最后一天涨跌幅,交易天数,下月涨幅
2007-07-31,sh600001,19602537720.0,1,-0.001435,22,0.212644772574
2007-08-31,sh600001,23770893440.0,1,0.043263,23,0.0521336797894
2007-09-30,sh600001,25010134330.0,1,0.02069,20,-0.0799569393052
2007-10-31,sh600001,23010450170.0,1,0.008642,18,-0.149325327702
2007-11-30,sh600001,19574373150.0,1,-0.023876,22,0.166904443984
2007-12-31,sh600001,22841462770.0,1,0.008706,20,0.118371539794
2008-01-31,sh600001,25545261080.0,1,-0.021575,22,0.0187425215718
2008-02-29,sh600001,26024058700.0,1,-0.010707,16,-0.167747635815
2008-03-31,sh600001,21658551020.0,1,-0.075721,21,-0.0988302813884
2008-04-30,sh600001,19518044020.0,1,0.035874,21,-0.124099202365
2008-05-31,sh600001,17095891370.0,1,0.013356,19,-0.243820589915
2008-06-30,sh600001,12927535650.0,1,0.004376,20,0.00852909270657
2008-07-31,sh600001,12645889990.0,1,-0.02603,23,-0.162582881436
2008-08-31,sh600001,10589876700.0,0,0.0,19,0.0
2008-09-30,sh600001,10589876700.0,0,0.0,0,0.0
2008-10-31,sh600001,10589876700.0,0,0.0,0,0.0
2008-11-30,sh600001,10589876700.0,0,0.0,0,-0.135638215852
2008-12-31,sh600001,9153483850.0,1,-0.052478,2,0.144616025127
2009-01-31,sh600001,10477218440.0,1,0.005405,15,0.0483867160524
2009-02-28,sh600001,10984180620.0,1,-0.037037,20,0.120514495561
2009-03-31,sh600001,12307915210.0,1,0.025822,22,-0.0434804538439
2009-04-30,sh600001,11772788460.0,1,-0.002387,20,0.205741441993
2009-05-31,sh600001,14194941110.0,1,0.026477,18,0.10515924783
2009-06-30,sh600001,15687663090.0,1,-0.034662,21,0.337521630543
2009-07-31,sh600001,20982601440.0,1,0.024759,23,-0.342283121895
2009-08-31,sh600001,13800637190.0,1,-0.090909,21,-0.0591826113248
2009-09-30,sh600001,12983864780.0,1,0.013187,19,0.043386136353
2009-10-31,sh600001,13547156100.0,1,0.004175,16,0.139295786354
2009-11-30,sh600001,15434182000.0,1,0.033962,21,-0.0346723799479
2009-12-31,sh600001,14899055250.0,0,0.0,11,0.0
2010-01-31,sh600001,14899055250.0,0,0.0,0,0.0
2010-02-28,sh600001,14899055250.0,0,0.0,0,0.0
2010-03-31,sh600001,14899055250.0,0,0.0,0,0.0
2010-04-30,sh600001,14899055250.0,0,0.0,0,0.0
2010-05-31,sh600001,14899055250.0,0,0.0,0,0.0
2010-06-30,sh600001,14899055250.0,0,0.0,0,0.0
2010-07-31,sh600001,14899055250.0,0,0.0,0,0.0
2010-08-31,sh600001,14899055250.0,0,0.0,0,0.0
2010-09-30,sh600001,14899055250.0,0,0.0,0,0.0
2010-10-31,sh600001,14899055250.0,0,0.0,0,0.0
2010-11-30,sh600001,14899055250.0,0,0.0,0,0.0
2010-12-31,sh600001,14899055250.0,0,0.0,0,0.0
2011-01-31,sh600001,14899055250.0,0,0.0,0,0.0
2011-02-28,sh600001,14899055250.0,0,0.0,0,0.0
2011-03-31,sh600001,14899055250.0,0,0.0,0,0.0
2011-04-30,sh600001,14899055250.0,0,0.0,0,0.0
2011-05-31,sh600001,14899055250.0,0,0.0,0,0.0
2011-06-30,sh600001,14899055250.0,0,0.0,0,0.0
